vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,"2018-12-31T21:57:20,000","2018-12-31T22:19:07,000",5,5.08,1,N,75,145,2,18,0.5,0.5,0,0,0.3,19.3
2,"2018-12-31T21:57:05,000","2018-12-31T22:16:11,000",5,1.94,1,N,142,68,2,13,0.5,0.5,0,0,0.3,14.3
2,"2018-12-31T21:56:45,000","2018-12-31T22:20:33,000",5,6.53,1,N,170,129,2,22,0.5,0.5,0,0,0.3,23.3
2,"2018-12-31T21:56:33,000","2018-12-31T22:19:41,000",6,3.42,1,N,141,148,2,16,0.5,0.5,0,0,0.3,17.3
2,"2018-12-31T21:56:11,000","2018-12-31T22:05:48,000",6,2.47,1,N,75,168,2,10,0.5,0.5,0,0,0.3,11.3
2,"2018-12-31T21:55:54,000","2018-12-31T22:27:55,000",5,6.52,1,N,230,65,1,25,0.5,0.5,0,0,0.3,26.3
2,"2018-12-31T21:54:54,000","2018-12-31T22:23:14,000",5,6.63,1,N,79,43,2,23,0.5,0.5,0,0,0.3,24.3
2,"2018-12-31T21:52:14,000","2018-12-31T22:17:38,000",5,5.57,1,N,142,4,1,21,0.5,0.5,1,0,0.3,23.3
2,"2018-12-31T21:51:57,000","2018-12-31T22:01:55,000",5,4.93,1,N,132,216,2,15,0.5,0.5,0,0,0.3,16.3
2,"2018-12-31T21:50:20,000","2018-12-31T22:05:02,000",6,3.47,1,N,137,263,2,13,0.5,0.5,0,0,0.3,14.3
2,"2018-12-31T21:49:52,000","2018-12-31T22:02:41,000",6,1.94,1,N,231,113,2,10,0.5,0.5,0,0,0.3,11.3
2,"2018-12-31T21:48:33,000","2018-12-31T22:07:00,000",6,4.22,1,N,262,107,2,16,0.5,0.5,0,0,0.3,17.3
2,"2018-12-31T21:48:15,000","2018-12-31T22:02:01,000",5,1.37,1,N,48,164,2,10,0.5,0.5,0,0,0.3,11.3
2,"2018-12-31T21:48:09,000","2018-12-31T22:03:21,000",5,1.14,1,N,162,186,2,10,0.5,0.5,0,0,0.3,11.3
2,"2018-12-31T21:47:13,000","2018-12-31T22:05:50,000",5,3.24,1,N,170,261,2,14,0.5,0.5,0,0,0.3,15.3
2,"2018-12-31T21:46:00,000","2018-12-31T22:06:21,000",5,5.35,1,N,68,74,1,19,0.5,0.5,0,20,0.3,40.3
2,"2018-12-31T21:45:29,000","2018-12-31T22:22:47,000",5,20.20,2,N,238,132,2,52,0,0.5,0,5.76,0.3,58.56
2,"2018-12-31T21:45:12,000","2018-12-31T21:45:27,000",5,0.00,5,N,61,61,1,33,0,0.5,6,0,0.3,39.8
2,"2018-12-31T21:45:05,000","2018-12-31T22:01:01,000",5,1.47,1,N,48,142,2,11,0.5,0.5,0,0,0.3,12.3
2,"2018-12-31T21:44:46,000","2018-12-31T22:00:12,000",6,3.57,1,N,262,163,2,13,0.5,0.5,0,0,0.3,14.3
2,"2018-12-31T21:44:25,000","2018-12-31T21:56:43,000",5,2.12,1,N,152,74,2,10,0.5,0.5,0,0,0.3,11.3
2,"2018-12-31T21:44:00,000","2018-12-31T21:52:30,000",6,6.44,2,N,93,223,2,52,0,0.5,0,0,0.3,52.8
2,"2018-12-31T21:43:14,000","2018-12-31T21:53:16,000",5,2.05,1,N,238,43,2,10,0.5,0.5,0,0,0.3,11.3
